file_name,platform,hash
grinning_face_0.png,Apple,942f08f8aa7633a121c2e0fcab07ccf4
grinning_face_0.png,Google,f455777ecf02123d414289a13a0410a9
grinning_face_0.png,Facebook,e1c39c086044c2432ce552dd2465385c
grinning_face_0.png,Windows,8e6b7cafc0ea40d81f9cfe264baced8c
grinning_face_0.png,Twitter,e78e35bed487156d11da770a0f2ccccb
grinning_face_0.png,JoyPixels,c4e8d6e3a4b53d96a809022971ae0bf7
grinning_face_0.png,Samsung,e54a798c309223d7917bc6315e2ba49f
grinning_face_with_big_eyes_1.png,Apple,6f3b6e6883fecbbb2dd921dc9be78d68
grinning_face_with_big_eyes_1.png,Google,a7e7be28eb670a4ad565f187035fc397
grinning_face_with_big_eyes_1.png,Facebook,8c876703ea2da08da9fbbbe06e1535e8
grinning_face_with_big_eyes_1.png,Windows,12639b85f148622175c5bcc0ac6fb4cc
grinning_face_with_big_eyes_1.png,Twitter,e878ad3e84fbecb6ac799b98c500b8c4
grinning_face_with_big_eyes_1.png,JoyPixels,e7384a5686541acc7f7315834d9888b4
grinning_face_with_big_eyes_1.png,Samsung,6003532321fb984bfabd6a2db1fa8502
grinning_face_with_smiling_eyes_2.png,Apple,f8e4e3015240e9eedd36ab0a75634d12
grinning_face_with_smiling_eyes_2.png,Google,f2cb0ce8cf31f77553c0d46730283927
grinning_face_with_smiling_eyes_2.png,Facebook,f32db9ebabc2939d4c1a7160b9566e97
grinning_face_with_smiling_eyes_2.png,Windows,44000cc6666a4b776277821921d48b0b
grinning_face_with_smiling_eyes_2.png,Twitter,83b531b05312370ad5fd4a00bb948fff
grinning_face_with_smiling_eyes_2.png,JoyPixels,810003d10cbf5f70348c3a2049d7864b
grinning_face_with_smiling_eyes_2.png,Samsung,a41f19173fae31c61641f942cec3b365
beaming_face_with_smiling_eyes_3.png,Apple,3108419443fa0cfb304e209b28887d09
beaming_face_with_smiling_eyes_3.png,Google,1fed88c14c908cf18435483fc5483076
beaming_face_with_smiling_eyes_3.png,Facebook,8383d1e4793881629fd58218f402d841
beaming_face_with_smiling_eyes_3.png,Windows,04845a1033e6fd04784be2112bb9a119
beaming_face_with_smiling_eyes_3.png,Twitter,8cbe08416e79fb2c30a92f3aa2c0062a
beaming_face_with_smiling_eyes_3.png,JoyPixels,2ba1b866a44a166459d094e82fb38aff
beaming_face_with_smiling_eyes_3.png,Samsung,9a6ef461873cab02dd5b292389b45519
grinning_squinting_face_4.png,Apple,7ef28c2e597ddb0c47dc2b56a19fa545
grinning_squinting_face_4.png,Google,6cfaa85905c2d7e09505b58fccbb18e4
grinning_squinting_face_4.png,Facebook,3eac5b8c9ed03cfecb2b8baac4995655
grinning_squinting_face_4.png,Windows,fae108004c96dacab1db74cbc978cff5
grinning_squinting_face_4.png,Twitter,68c91d8897eba5be2b6bda292eb82ce9
grinning_squinting_face_4.png,JoyPixels,43d1f01e8c4e529992b58a5280589dcf
grinning_squinting_face_4.png,Samsung,1580dda74d75957c0fc3a554324521c3
grinning_face_with_sweat_5.png,Apple,0b80343471bd8a0ced74c45247457ce7
grinning_face_with_sweat_5.png,Google,5bf3322343e813e3763abcee2d42e0db
grinning_face_with_sweat_5.png,Facebook,71509a7378c82c2f8e63530f9b0ae54d
grinning_face_with_sweat_5.png,Windows,15e3932e5e0a04518464373c6cd5c9db
grinning_face_with_sweat_5.png,Twitter,0341dcbe3f163ee55a0b6408a58c6384
grinning_face_with_sweat_5.png,JoyPixels,a5635e056cd225085a77ffec54757874
grinning_face_with_sweat_5.png,Samsung,37bb0b265f3de34fbe861066568fb2fe
rolling_on_the_floor_laughing_6.png,Apple,b461dbc51ee1fddc80a81966a99fea5d
rolling_on_the_floor_laughing_6.png,Google,dec9b6d6fc57527a6e10aa8d08f4ca60
rolling_on_the_floor_laughing_6.png,Facebook,e4347582986180b8be02fd502f76edbb
rolling_on_the_floor_laughing_6.png,Windows,216dbc77735d6dcd7f841c273f24e6ec
rolling_on_the_floor_laughing_6.png,Twitter,853e0b0d788003b48bb01a57fcd54209
rolling_on_the_floor_laughing_6.png,JoyPixels,6a8f5e0462e99d9918f7ca7cada7e759
rolling_on_the_floor_laughing_6.png,Samsung,dda316957306164635e73a9a9cbe38d6
face_with_tears_of_joy_7.png,Apple,2654e6b069a42f59baaa064cd861dd4c
face_with_tears_of_joy_7.png,Google,474b192eb3d954283377b2a54f4dad36
face_with_tears_of_joy_7.png,Facebook,c3641fa4f765f958dee9e498bb657973
face_with_tears_of_joy_7.png,Windows,f2960791b75cb3c33b923c9e27d78d24
face_with_tears_of_joy_7.png,Twitter,0ac90a5cb9a3127aabe648204b9ae79d
face_with_tears_of_joy_7.png,JoyPixels,359e406bdeaddcd0e496da3d15e6730b
face_with_tears_of_joy_7.png,Samsung,284bbb58427a27cd8b4bda394ddfb1c5
slightly_smiling_face_8.png,Apple,513271932d712107c2b2de611ee022eb
slightly_smiling_face_8.png,Google,b539b3297088888de09678a87ac9486f
slightly_smiling_face_8.png,Facebook,4f09b5ff4ac49e579f39574420036858
slightly_smiling_face_8.png,Windows,db375aade253fdd4621a6866c6c8fbe6
slightly_smiling_face_8.png,Twitter,39a7d733bfd9e00ee3fd31c2b41c7238
slightly_smiling_face_8.png,JoyPixels,d6773e8f6fbcdc921e815f414651ffb3
slightly_smiling_face_8.png,Samsung,eb9860629b9c60b7533052fbdbfdf23e
upside-down_face_9.png,Apple,bbce12f88450f500442479b47f047873
upside-down_face_9.png,Google,b7eeb3ff395aa822c7c16bdeab2c438a
upside-down_face_9.png,Facebook,2dd5b7dbcea8ad8813c162543ffe9697
upside-down_face_9.png,Windows,7779a4560c6865a042105a7d4cf976ce
upside-down_face_9.png,Twitter,3f78478e42a277e1a57abeb0f1d36cb4
upside-down_face_9.png,JoyPixels,4ca1c87b4d0add44fdcf33f523e051bc
upside-down_face_9.png,Samsung,adf50bd40ef8afdfe2237f710dd476cb
winking_face_10.png,Apple,6ba61c2923c4dd288c5fc40b2893f70a
winking_face_10.png,Google,a83211d40264cf708b49e1de7157f740
winking_face_10.png,Facebook,04c4996bd2ed266510ec70db45103103
winking_face_10.png,Windows,0c2f5e07c7a6cb4d782d0404e7476d2b
winking_face_10.png,Twitter,4b6ef48a3c95fcdb039909dddb2b91cc
winking_face_10.png,JoyPixels,af077f81c062ae528f5fdc20815baf3b
winking_face_10.png,Samsung,bb50ad1b539094b8355952b0184564a6
smiling_face_with_smiling_eyes_11.png,Apple,e5d9326bf8d7133840b9077158ffd884
smiling_face_with_smiling_eyes_11.png,Google,f425d14720719c1a626fe38129f08301
smiling_face_with_smiling_eyes_11.png,Facebook,02898ecaa0b5b40cbdcad550830c128a
smiling_face_with_smiling_eyes_11.png,Windows,6b6f0ed6a96fd6bd38c1b405afe4b4d7
smiling_face_with_smiling_eyes_11.png,Twitter,f3dc4d5d73a22e9fa8dbdd1a2b0522ac
smiling_face_with_smiling_eyes_11.png,JoyPixels,3b54f26da643f30f447f95884cc5fe2a
smiling_face_with_smiling_eyes_11.png,Samsung,1b383e61c82d4cd5cdef3d265907fcc6
smiling_face_with_halo_12.png,Apple,7a994b2b33187e05518ce54164f95dd2
smiling_face_with_halo_12.png,Google,5aae867841837f1c9e727be599f17b64
smiling_face_with_halo_12.png,Facebook,c9dacb6b0b3874479b3334c2f3dd9bdd
smiling_face_with_halo_12.png,Windows,0ffc517fa414fccc13057e7678a00594
